periode,label,headline,content,predik
6/29/2024,Berita Aceh,"waled nu khawatir santri pun bisa terjerumus judi online saat di luar dayah, begini sarannya",pimpin dayah ummul ayman dan stis samalanga bireuen yang juga ulama kharismatik aceh tgk h nuruzzahri atau lebih kenal waled nu sampai hal ini jumat lapor yusmandin idris i bireuen serambinewscom bireuen judi online sudah rasuk ke manamana dan makin khawatir maka tindak polisi tangkap warga yang main judi online dapat apresiasi pasal jika biar dan tanpa ada kompak bagai kalang berantas judi online maka akan sangat bahaya pimpin dayah ummul ayman dan stis samalanga bireuen yang juga ulama kharismatik aceh tgk h nuruzzahri atau lebih kenal waled nu sampai hal ini kepada kepada serambinewscom jumat barubaru ini kata sudah banyak main judi online tangkap masuk orang di bireuen yang juluk kota santri malu ini banyak main judi online di bireuen sudah aman dan mungkin masih banyak yang belum tangkap dan mohonaparat tegak hukum dan lain samasama berantas judi online maupun bentuk judi lain ujar tambah para pimpin dayahpesantren sangat khawatir tentang para santri karena masingmasing santri sudah pegang hp baca juga dekan febi iain langsa warning mahasiswa dan dosen ingat bahaya judi online cegah marak judi online saran waled nu aparat tegak hukum harus makin gencar laku patroli saat patroli temu ada remaja duduk dua tiga duduk tengah malam dengan bijaksana mereka juga harus periksa hpnya siapa tahu mereka sedang main judi online kami para pimpin dayah khawatir saat di dayah pantau aktivitas mereka dan selalu ingat saat pulang ke rumah atau tempat lain karena libur kami khawatir mereka jerumus ujar waled nu saran berantas judi online hendak semua libat mulai dari dua orang tua masyarakat perangkat desa maupun bagai elemen lain masuk perintah daerah dan aparat tegak hukum para khatib atau dakwah hendak suara bagai hal berantas judi online dalam kutbah atau ceramah maupun temu aji baca juga pria muslim wajib tahu simak doa dan tata cara ikut supaya mandi junub sah dan sempurna dengan langkah sama mudahmudahan masyarakat atau para remaja yang libat judi online henti buat larang agama dan hukum ini ujar,XX
6/13/2024,Berita Aceh,"jelang idul adha, penjualan kue lebaran di idi aceh timur sepi, pedagang musiman terancam rugi",rita orang jual kue musim lebaran di pasar idi rayeuk aceh timur ini hanya bisa tunduk lesu karena tak ada beli yang bisa layan lapor maulid alfata aceh timur serambinewscom idi deret lapak dagang kue musim lebaran susun di jalan jenderal sudirman pasar idi rayeuk aceh timur amat serambinewscom kamis tiap lapak lihat sepi dari para beli padahal idul adha tinggal hitung hari rita orang jual kue musim lebaran di pasar idi rayeuk aceh timur ini hanya bisa tunduk lesu karena tak ada beli yang bisa layan tanya serambinewscom ibu rumah tangga ini aku sudah empat hari jual di lokasi mulai pukul wib hingga pukul wib namun kata dalam empat hari itu omzet jual sebut rp juta pun tak sampai ini sudah empat hari saya jual belum sampai satu juta rupiah pun yang laku ungkap rita sambil tata dagang baca juga daftar cpns dan pppk segera buka siap diri anda dari sekarang rita kira lemah daya beli warga karena memang dapat saat ini juga sulit selain memang aku minat warga beli kue untuk idul adha tak setinggi seperti untuk siap idul fitri bukti kata rita saat jelang idul fitri hijriah lalu omzet jual capai rp juta hingga rp juta adapun kue lebaran yang jual rita kali ini yaitu kacang arab per kilo rp ribu nastar rp ribu per kilogram rita harap hasil jual dua hari ke depan bisa tingkat atau habis jual jika tidak paksa diri tanggung rugi besar banyak barang dagang yang saya ambil dari medan dan beberapa lain saya produksi sendiri ungkap,XX
5/21/2024,Berita Aceh,"kasus kematian warga lokop aceh timur, anggota dpr ta khalid desak penyelidikan secara transparan",lapor maulid aceh timurserambinewscom idi anggota dpr ri asal aceh ir h ta khalid mm minta jangan ada rekayasa dalam mati salah satu warga lokop serbajadi aceh timur kita harus pasti tidak ada rekayasa dan manipulasi dalam insiden tragis ini saya desak aparat aman untuk selidik kasus ini cara seluruh dan buka karena ini adalah masalah manusia kata ta khalid dalam wawancara dengan serambinewscom selasa ia tegas bahwa jika dapat indikasi langgar hukum masuk libat korban dalam kasus narkoba proses hukum yang sah harus ikut tanpa kecuali tetapi tukas tidak langgar atur dan langgar hak asasi manusia ham bagai negara yang landas hukum kita harus tegak adil lalu prosedur hukum yang laku tidak boleh ada rekayasa fakta atau langgar hak asasi manusia imbuh ta khalid ungkap curiga hadap mungkin ada manipulasi dalam mati korban yang jadi telah kejar pada sabtu dini hari di mana korban dan orang rekan duga bawa ganja lewat kompi lokop di tikung lengkok dusun cane desa rampah camat serbajadi kabupaten aceh timur dia juga nyata prihatin atas kurang informasi resmi kena tangkap sebut jadi ini baru ungkap ke publik telah keluarga korban nyata ingin untuk lapor kasus itu ke polres aceh timur pada senin mei keluarga korban yang pimpin oleh sang ayah salat ibrahim telah suara berat mereka hadap klaim pihak tni bahwa korban jatuh dari jembatan lama kejar mereka tunjuk luka memar pada mata pipi dan dada korban yang mereka duga bagai akibat dari keras ia juga seru selesai kasus ini dengan cara yang buka dan seluruh sehingga adil dapat tegak sepenuh saya desak denpom panglima tni dan polisi untuk usut kasus ini hingga ke akarakarnya siapa pun yang libat harus tanggung jawab di depan hukum tegas anggota komisi iv dpr ri ini,XX
4/18/2024,Berita Aceh,"persiapan pora 2026, dprk aceh jaya koordinasi dengan kadispora aceh",banda aceh acehportalcom pimpin dewan wakil rakyat kabupaten dprk aceh jaya laku temu koordinasi dengan kepala dinas pemuda dan olahraga kadispora aceh m nasir syamaun mpa kait cepat siap laksana pekan olahraga aceh pora xv yang akan laksana dua tahun datang yaitu pada pada temu di gedung spora aceh rabu april wakil ketua i dprk aceh irwanto np sampai lapor persiapanpersiapan yang telah laku kabupaten aceh jaya dan minta masukanmasukan agar proses siap dapat jalan cepat dan tepat sasar kami di daerah sangat harap penuh dukung untuk segera rencana dan cepat apa yang harus kami laku misal apaapa saja yang harus bangun dan persiapanpersiapan lain kata irwanto turut hadir juga wakil ketua ii dprk aceh jaya teuku asrizal irwanto juga tambah pihak akan terus pro aktif untuk koordinasi dengan perintah aceh dpra dan pihakpihak lain untuk matang siap sehingga pora xv tahun dapat laksana dengan sukses baik dari sisi sedia venuevenue dan dari sisi selenggara jauh ini perintah aceh jaya telah selesai beberapa detail engineering design ded atau rencana bangun venue di tahun juga akan mulai bangun gedung olah raga gor yang sumber dari dana otonomi khusus aceh doka kita juga akan buat ded lagi untuk beberapa venue cabang olahraga untuk kita kirim ke perintah aceh kata irwanto bebas lahan tempat rencana bangun venue sudah laku semua untuk panitia inti juga sudah bentuk tuai langsung oleh sekda aceh jaya tambah selain dengan spora aceh dprk aceh juga sudah sudah laku koordinasi dengan dpra dan koni aceh wakil masyarakat aceh jaya irwanto kata pihak tekad agar pora aceh jaya dapat selenggara sempurna dan jadi contoh bagi selenggara pora pada masamasa ikut tanggap temu dengan dprk aceh jaya kadispora aceh m nasir syamaun mpa nyata siap pora memang jadi perhati perintah aceh yang perlu rancang baik mungkin ia kata akan kata lapor hasil temu sebut kepada pj gubernur aceh bustami hamzah dan koordinasi ke bappeda aceh kita akan usul rencana bangun siap pora aceh jaya kepada pj gubernur aceh jika tahun mulai akan lebih baik namun demikian juga harus sesuai dengan kondisi uang aceh kata m nasir yang damping sekretaris dinas sekdis t banta nuzul spd editor redaksi rubrik olahraga pora koni aceh jaya,Z3
6/9/2024,Berita Aceh,disdik salurkan tpg dan gaji 13,proses salur tpg ini cakup lima berkas dengan anggar total besar rp miliar namun masih dapat guru yang telah milik sktp tetapi belum lengkap administrasi yang perlu marthunis kadisdik aceh serambinewscom banda aceh dinas didik disdik aceh umum telah salur tunjang profesi guru tpg triwulan i januari maret besar rp dan gaji ke rp untuk guru sma smk dan slb di seluruh aceh umum sebut sampai langsung oleh kepala dinas didik aceh marthunis st dea pada jumat marthunis jelas tunjang profesi guru atau yang lebih kenal dengan tunjang sertifikasi telah beri kepada guru yang telah milik surat putus tunjang profesi sktp selain itu dapat guru yang terima carry over tunjang profesi total terima tpg yang telah penuh syarat administrasi hingga batas waktu yang tentu pada juni capai orang tambah orang terima carry over dengan total orang proses salur tpg ini cakup lima berkas atau lima spm surat perintah bayar dengan anggar total besar rp namun masih dapat guru yang telah milik sktp tetapi belum lengkap administrasi yang perlu kata marthunis imbau mereka agar mereka segera lengkap agar tunjang dapat segera salur kata dinas didik aceh sama badan kelola uang aceh bpka telah koordinasi lintas sektoral masuk konsultasi dengan direktorat jenderal imbang uang menteri uang untuk laku cepat salur ini dokumen administrasi yang sudah lengkap telah kirim ke bpka pada juni kemarin namun ada beberapa kabupaten yang sudah milik sk tetapi belum serah berkas hingga batas waktu yang tentu yaitu juni jelas daftar kabupaten sebut antara lain aceh barat aceh barat daya aceh besar aceh jaya aceh selatan aceh tamiang aceh tengah aceh tenggara aceh utara bener riah bireuen nagan raya pidie pidie jaya simeulue kota banda aceh dan kota lhokseumawe dinas didik aceh harap salur tpg dan gaji ke ini dapat tingkat sejahtera guru dan motivasi mereka untuk terus beri yang baik dalam didik generasi muda acehmun gaji tambah persen target cair juli dalam sempat itu marthunis juga sampai bahwa naik gaji besar persen target akan cair pada juli salur ini juga masuk bayar rapel kurang gaji belum turut marthunis lambat ini sebab oleh beberapa faktor utama banyak guru yang belum baru data kait status mereka seperti naik pangkat pindah dan ubah status lain akibat beberapa guru yang belum lapor baru data ini proses salur gaji tunda dan ikut hambat guruguru lain yang data sudah lengkap jelas marthunis dinas didik aceh sama cabang dinas di tiap kabupaten dan kota terus kerja keras untuk baru datadata guru yang belum lengkap kami laku koordinasi intensif dengan semua pihak kait untuk pasti bahwa data yang perlu segera baru dan verifikasi tambah marthunis tegas bahwa target salur naik gaji besar persen ini akan capai pada juli target kami insyaallah pada juli ini sudah bisa salur kata marthunis optimis dinas didik aceh harap salur naik gaji ini dapat beri dampak positif bagi sejahtera guru di aceh kami komitmen untuk terus tingkat layan dan sejahtera para guru karena mereka adalah ujung tombak dalam cerdas generasi muda tutup marthunismun,Z5
4/29/2024,Berita Aceh,"hiace hantam tronton, sopir dan 5 penumpang angkutan umum itu terluka, ini identitas mereka",kapolres aceh tamiang akbp muhammad yanis sebut dua kendara yang libat celaka truk bl ak dan hiace bl wf rusak parah lapor rahmad wiguna aceh tamiang serambinewscom kualasimpang enam orang luka dalam insiden celaka lalu lintas yang libat hiace dengan truk tronton di jalan lintas medan banda aceh kampung seumantoh karangbaru aceh tamiang celaka itu jadi senin dini hari para korban yang luka itu rupa kemudi hiace suhardi serta lima tumpang ekawati irma raja valdi dan puteh sementara awak truk pasti selamat kapolres aceh tamiang akbp muhammad yanis sebut dua kendara yang libat celaka truk bl ak dan hiace bl wf rusak parah rusa hiace jadi pada bagi depan sedang truk rusak berat pada bagi tengah samping kanan dasar terang awal celaka ini jadi ketika truk dari arah langsa laju dalam cepat sedang balik hiace laju dari medan ke arah langsa baca juga kait ganti anggota pansel panwaslih aliansi pemuda dan mahasiswa surati bkd dprk bireuen duga awal sopir hiace hilang kendali akibat pacu kendara dalam cepat tinggi di jalan tikung mobil hiace tibatiba lebar ke kanan lewat garis tengah sehingga tabrak samping kanan truk tangki dari arah lawan kata yanis senin jauh ini polisi masih dalam sebab celaka ini dengan kumpul terang saksi untuk perlu lidi toyota hiace sudah evakuasi ke satlantas polres aceh tamiang sedang truk hingga senin siang masih ada di tempat jadi perkara dalam sempat itu yanis ingat agar kemudi utama selamat tumpang dengan perhati cepat kendara kasus masih proses kalau temu lalai akan proses sesuai hukum tegas yanis baca juga personel polres pijay evakuasi korban tinggal dunia cium bau curiga,XX
6/13/2024,Berita Aceh,"angka laka lantas di kota banda aceh meningkat, dua pekan tiga orang meninggal dunia di jalan",banda aceh acehportalcom dalam kurun waktu dua pekan di bulan juni ini satlantas polresta banda aceh tangan tiga kasus celaka yang sebab tinggal dunia hal ini kata oleh kapolresta banda aceh kombes pol fahmi irwan ramli lalu kasatlantas kompol sukirno kepada awak media kamis dalam dua pekan ini unit laka satlantas polresta banda aceh sudah tangan tiga kasus mati akibat jadi celaka lalu lintas jalan raya ungkap sukirno merincikan jadi pertama jadi di jalan teuku umar sabtu yang sebab tinggal mul juru parkir akibat tabrak oleh sepeda motor kemudian lanjut ny tinggal dunia saat sedang seberang jalan di jalan mr mohd hasan batoh minggu pagi tiga sambung sukirno laka lantas yang sebab sy tinggal dunia kendara sepeda motor yamaha r di jalan sultan iskandar muda punge jurong banda aceh kamis pagi ia jelas bahwa celaka yang jadi tadi pagi turut terang dari para saksi saksi di sekitar tkp awal dari sepeda motor yamaha r yang kendara korban dengan cepat tinggi tabrak bagi belakang motor honda beat bl ju milik aulia abdillah yang sedang laju tuju ke pusat kota sehingga jatuh dan kena trotoar tengah jalan sehingga sy tinggal dunia di lokasi dengan demikian dalam dua pekan bulan juni korban laka lantas tinggal dunia sudah capai tiga orang akibat sepeda motor tutur kasatlantas sukirno harap agar bagi kendara kenderaan lebih hati hati dalam kemudi jangan lalai yang akan akibat jadi celaka kami juga pesan kepada warga yang lintas dengan jalan kaki untuk perhati lintas kenderaan supaya tidak jadi ada hal yang tidak ingin pungkas rubrik hukum laka lantas di banda aceh,XX
6/4/2024,Berita Aceh,"pan aceh rekomendasi said mulyadi, jadi bakal calon bupati pijay",pada inti kami komitmen maju dalam pilkada serentak ini dasar komitmen dalam bangun pijay lapor idris ismail i pidie jaya serambinewscom meureudu dewan pimpin daerah dpd partai amanat nasional pan aceh rekomendasi pasang calon bupati pidie jaya dr h said mulyadi se msi sama saiful anwar sh senin petang yang pusat di rumoh pan aceh di banda aceh restu atau rekomendasi itu langsung hadir ketua dpd pan aceh mawardi ali sama sekretaris irfan nusir sag syukur alhamdulillah kami dapat rekomendasi dpd pan aceh sebut said mulyadi se msi kepada serambinewscom selasa turut mantan bupati pijay itu bahwa ini rupa tahap awal dan juga harap agar pihak dewan pimpin pusat dpp dapat beri yang baik atau rekomendasi untuk lang tahap ikut tentu ini telah laku monitoring internal maupun survey elektabilitas yang di laksana oleh lembaga kredibel yang kerja sama dengan parpol pan pada inti kami komitmen maju dalam pilkada serentak ini dasar komitmen dalam bangun pijay untuk jauh lebih baik kami tetap solid panjang masyarakat dan parpol dukung sepenuh ujar,Z1
6/16/2024,Berita Aceh,"pj bupati aceh timur keluarkan surat edaran, larang takbir keliling dengan kendaraan",lapor maulid alfata aceh timur serambinewscom idi jabat pj bupati aceh timur keluar surat edar tentang larang takbir keliling guna kendara larang itu tulis dalam surat edar dengan nomor tanggal juni selain larang takbir keliling surat edar itu juga cantum beberapa poin lain yakni giat takbir laksana di masjidmasjid dalam wilayah camat masingmasing laksana shalat id idul adha laksana di masjid gampong masingmasing dengan tema qurban bagai wujud iman dan ketaqwaan kepada allah swt serta laksana sembelih qurban laksana cara biasa tulis surat sebut surat edar itu juga ditandatangani oleh pj bupati aceh timur dengan tembus ke seluruh forkopimda,XX
4/23/2024,Berita Aceh,"siap-siap! pijay segera miliki kawasan bebas asap rokok, pj bupati pijay ajukan 2 raqan ke dewan",lapor idris ismail i pidie jaya serambinewscom meureudu pj bupati pidie jaya pijay atas nama perintah kabupaten pemkab aju dua rancang qanun raqan ke dewan wakil rakyat kabupaten dprk tempat selasa dalam sidang paripurna i masa sidang i tahun sidang paripurna i masa sidang i itu buka oleh wakil ketua dprk hasan basri st mt dengan turut hadir dua pimpin lain a kadir jailani dan syahrul nurfa sh selain itu juga hadir pj bupati pijay ir h jailani beuramat sekda bahron bakti st mt serta unsur forkopimda tempat ada pun dua raqan yang aju itu upa raqan tentang selenggara dayah dan raqan tentang kawasan tanpa rokok ktr satu di antara raqan yang aju itu yaitu raqan tentang selenggara dayah rupa inisiatif pihak legislatif atau dari pihak dewan sebut pj bupati pijay ir h jailani beuramat kepada serambinewscom selasa jelas dia inisiatif pihak legislatif itu jadi satu terobos baru agar dapat bahas cara bersamasama agar dapat tuju bagai produk hukum daerah dengan asas bebas sehingga saat terap di tengah publik akan lebih sempurna ulas pj bupati pijay utama dalam selenggara tugastugas perintah dan bangun lanjut di pijay cinta ini lanjut demikian juga usul raqan tentang kawasan tanpa rokok juga dapat bahas cara tepat sehingga nanti juga dapat tentu kawasan bebas dari polusi asap rokok dengan terap dua raqan bagai produk hukum dapat wujud absah atas legalitas bagi marwah kabupaten tentu semua itikad baik sebut sematamata dalam tuju pijay yang martabat taat hukum serta milik pasti pasti hukum ungkap,Z3
